Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
slc22a13	slc22a13	48.4914654914148	8.25570272967713	0.97734439027465	8.44707639582107	2.98688284878048e-17	6.9642687599139e-15
Xetro.A00137	Xetro.A00137	57.0243155198151	7.30383914058555	0.850184188875794	8.59089034605958	8.62979632707801e-18	2.2430396846856e-15
slc2a7	slc2a7	6.31280966647113	6.91782975901821	1.40829475126089	4.91220304046754	9.00587204718979e-07	2.16673901833375e-05
Xetro.D02372	Xetro.D02372	4.10909520227454	6.4497913487373	1.51675796148031	4.2523537126797	2.11535396268576e-05	0.000324989700371925
cfhr2	cfhr2	53.679055899917	6.42510861290072	0.838844511749487	7.6594750551572	1.86694605685775e-14	2.59652892381401e-12
Xetro.B00151	Xetro.B00151	9.08311746487999	6.40623951118868	1.31266962459663	4.88031366853427	1.05917244539912e-06	2.5101911990737e-05
btg4	btg4	169.920728910572	6.38597329964919	0.776810309304166	8.22076280806504	2.02212844986817e-16	4.21853244377103e-14
Xetro.K00859	Xetro.K00859	8.34564022893981	6.05619791303387	1.18235050619403	5.12216798767117	3.02042614880602e-07	8.25669941195164e-06
Xetro.H01138	Xetro.H01138	39.5956572018402	6.00561626185229	0.62637451524304	9.58790007528012	8.98959551163456e-22	4.75100122789886e-19
kbtbd13	kbtbd13	11.4120195110103	5.98071802089804	1.05497052292001	5.66908543031541	1.43561774772148e-08	5.40658417817674e-07
Xetro.K03074	Xetro.K03074	9.18182468572626	5.96531683168631	1.46756435431448	4.06477359180122	4.80791109711859e-05	0.000655455119903828
Xetro.K01094	Xetro.K01094	23.0761555821891	5.86915347860117	0.838700604688193	6.99791253969964	2.59804178549912e-12	2.31415463534205e-10
Xetro.F01749	Xetro.F01749	27.2228623771826	5.52643813311612	1.25466674565686	4.40470599244492	1.05927443108916e-05	0.000179938898631951
Xetro.J00372	Xetro.J00372	7.60196130369782	5.41240889235406	1.0933492611847	4.95030187013566	7.40984583782933e-07	1.82144350013619e-05
Xetro.J00232	Xetro.J00232	3.31455489777044	5.40918910351293	1.60214177864892	3.37622373724908	0.000734881324050272	0.00617463878792637
Xetro.C00978	Xetro.C00978	14.4666644154174	5.36360963202139	0.904313079203457	5.93114238350484	3.00834190086604e-09	1.3323257217383e-07
Xetro.C00903	Xetro.C00903	4.83639952129575	5.35819063170658	1.30533858850063	4.1048281870386	4.04615484900162e-05	0.000566711882781986
Xetro.G01440	Xetro.G01440	16.2309789360599	5.30921111385425	0.809860439175451	6.55571115346708	5.53773293369804e-11	3.70467323475875e-09
btbd1	btbd1	37.0478375249702	5.26564137857369	0.635639955548708	8.28399997924642	1.19105629688149e-16	2.55191859284541e-14
fbln5	fbln5	25.7482394068981	5.18896387090925	0.698946904067533	7.42397432582072	1.13657200805921e-13	1.3755991746396e-11
Xetro.B02333	Xetro.B02333	17.1015123161332	5.17729023172448	0.932406580242233	5.55261013964472	2.81435278943867e-08	9.67713539246225e-07
Xetro.E00495	Xetro.E00495	3.94692412211607	5.02089772410784	1.63112065016953	3.07818904971009	0.0020826274945291	0.0139325143146662
pla2g12b	pla2g12b	425.078658275093	4.99267932420311	1.19660168111721	4.17238200730396	3.01431706231089e-05	0.000439264678519662
prrg3	prrg3	3.19202247831427	4.87134385319526	1.33858250371406	3.63918087953423	0.000273506643867328	0.00276912377938473
Xetro.J00143	Xetro.J00143	85.5672214241236	4.86244656311894	0.450999301908844	10.7814946553991	4.20988875472093e-27	3.92634036506473e-24
