Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Xetro.A00137	Xetro.A00137	57.0243155198151	5.03673344144845	1.080625691346	4.6609417875072	3.14765747988837e-06	0.00083834709319347
cyb561	cyb561	1026.95822587749	4.37502759384668	0.852086598215505	5.13448703806531	2.82914590328239e-07	0.000129916331013833
lonrf3	lonrf3	2131.39261609568	4.07259201478928	0.504483844037446	8.07278976903566	6.87098561857936e-16	1.83001830965243e-12
adam19	adam19	17.7969156817675	3.838463392963	1.1142938166782	3.44474979176118	0.00057158822640312	0.0402742878889436
chad	chad	120.515523844751	2.98195200574276	0.805763352668086	3.70077888981767	0.000214938705545616	0.0193401266334525
Xetro.A02968	Xetro.A02968	102.330852659868	2.61328410585378	0.385747411525147	6.77459920086442	1.24751612354227e-11	1.66131722172124e-08
rasl11a	rasl11a	70.0448641334994	2.55320745405041	0.799681958324627	3.19277861338713	0.00140910934350222	0.0756657626105607
Xetro.E01322	Xetro.E01322	384.323975725928	2.32830233856404	0.495675827396377	4.69722792574706	2.63716117809716e-06	0.000747214370398296
prc1.2	prc1.2	1024.71856316671	2.16124845233096	0.205910909137385	10.4960366664641	9.00833858117171e-26	5.99820224427318e-22
ifrd1	ifrd1	923.700315518751	2.14906648144669	0.44456883741077	4.83404661011139	1.33785240401053e-06	0.000445404511605207
arhgap11a.2	arhgap11a.2	235.393740108438	2.0837649076932	0.251761681608615	8.27673573825499	1.26597747214633e-16	4.21475549914318e-13
agr2	agr2	2210.75009882132	2.06801309884311	0.45954362447748	4.50014533700588	6.79070171029424e-06	0.00141299647931232
hoxb6	hoxb6	323.385877259323	2.06005994405483	0.617715784870277	3.33496406359027	0.000853104233007039	0.0530877993969847
Xetro.F01743	Xetro.F01743	24.8862405498168	2.05165384828481	0.441217356514299	4.64998445322564	3.31960051324728e-06	0.000866806275194394
Xetro.G00737	Xetro.G00737	22.5834435243077	2.03661649390662	0.63498425186386	3.2073496121023	0.00133964082563447	0.0725203124998952
btg4	btg4	169.920728910572	1.80175817171902	0.482133849045543	3.73704973273683	0.00018619210705346	0.0173920404175824
slc25a28	slc25a28	1338.32049362078	1.67667795275006	0.259974806393054	6.44938629251291	1.12303981524137e-10	1.15042470919764e-07
pif1	pif1	230.789835752237	1.51909403427893	0.393820258580662	3.85732831458134	0.000114633142962692	0.0126162773953237
dmrta2	dmrta2	181.589533561799	1.48383465131469	0.384596628754691	3.85815823742213	0.000114244677033917	0.0126162773953237
znf385b	znf385b	34.4483400554396	1.46176228058478	0.398051841104805	3.67229121846947	0.000240385522671605	0.0209229673556717
dusp28	dusp28	26.3771059142167	1.45638270110437	0.466890875016065	3.1193214068582	0.00181268112142044	0.0900726054758336
c2orf44	c2orf44	522.238608038207	1.44892211735529	0.256329542102622	5.65257560821926	1.58061232536038e-08	1.16938968537912e-05
degs1	degs1	1577.50426667784	1.43350598620683	0.187379649068532	7.65027575477279	2.00548780880762e-14	3.8152973071273e-11
c1orf93	c1orf93	1543.49817095567	1.37481598033958	0.298084478598988	4.61216896230652	3.98488863765464e-06	0.000949902431579322
prnp	prnp	171.365388070096	1.36988969369905	0.365847371482923	3.74442950935071	0.000180804128257771	0.017198346971491
Xetro.A03025	Xetro.A03025	987.858947926506	1.34042344716809	0.33686991900025	3.97905355024321	6.91901567653808e-05	0.00930712442065228
jph1	jph1	341.902946475123	1.30686894909918	0.197385670644987	6.62089068993097	3.57040929527325e-11	4.32246732592308e-08
fos	fos	77.3545648786828	1.29645782063817	0.251148733799226	5.16211171374882	2.44179488747228e-07	0.000116133508987387
nfil3	nfil3	221.398654244259	1.25540030664004	0.359847146612322	3.4887043525526	0.000485367659831249	0.0359091173665152
itga5	itga5	2469.22321570505	1.24046341014689	0.163451885510941	7.58916549827049	3.21972312050103e-14	5.12172851083665e-11
fancd2	fancd2	71.4159790029108	1.24025797358476	0.324834223430047	3.81812593663443	0.000134469281201963	0.0142121223632265
sort1	sort1	454.055958873132	1.23867342809241	0.260839327730705	4.74879857600016	2.04628617296084e-06	0.000612841973377355
bloc1s1	bloc1s1	124.576180630219	1.19177544032422	0.347925865663172	3.42537177583105	0.000613958660922479	0.042363147603651
snai1	snai1	6113.17279849616	1.17851282484648	0.155481133176516	7.57978026509835	3.46140696835097e-14	5.12172851083665e-11
c5orf24	c5orf24	67.5208646795311	1.16431450702242	0.323740709830111	3.59644144733423	0.000322600156332228	0.0261955261090017
Xetro.K00823	Xetro.K00823	95.7575185445351	1.14170807029255	0.28354773147231	4.02651103701049	5.66105833919212e-05	0.00805068125956683
snai2	snai2	899.760025695626	1.13702266120793	0.328090066331326	3.46558088125622	0.000529087358824342	0.0380857100403446
Xetro.D02419	Xetro.D02419	1694.78149424586	1.13636812831033	0.370308007711544	3.06871065341779	0.00214984701455799	0.0990640577607915
tdgf1	tdgf1	1593.78071074275	1.13492395759299	0.351116581477481	3.23232800005425	0.00122786029207698	0.0672897757596262
hvcn1	hvcn1	49.6029885130243	1.13174672061174	0.340337849983517	3.32536249102635	0.000883036463751089	0.0544416508693206
trim29	trim29	4667.02908142131	1.11369808144458	0.29240919098708	3.80869724951221	0.000139700880174557	0.0144216792347642
mrps15	mrps15	517.182786878796	1.10156202640192	0.260523138186476	4.22826945072899	2.35495660637258e-05	0.00418146095027516
arhgef40	arhgef40	500.567689455405	1.09791043348243	0.314415918354649	3.49190473315676	0.000479589267277335	0.0356798339236439
mespa	mespa	314.106615939934	1.09226366788525	0.236847792738179	4.61166918744597	3.99448345486536e-06	0.000949902431579322
kbtbd10	kbtbd10	1633.82312640205	1.08842542277154	0.33295781260826	3.26895895382435	0.00107943959240328	0.0624995524001499
atg4a	atg4a	110.387779803794	1.08087586960661	0.275160292227315	3.92816805381816	8.55953918656716e-05	0.0106530264810762
brd2	brd2	3724.59245906151	1.07195586262806	0.274668018778847	3.90273271491123	9.51127170106736e-05	0.0112878523899152
znf329	znf329	343.411858507897	1.04390504688029	0.324966754303347	3.2123441338428	0.00131656566407795	0.0715620610143921
Xetro.K01092	Xetro.K01092	222.75576232377	1.04324174576689	0.315927487985731	3.30215567001882	0.000959448062802256	0.0567865326770562
abhd6	abhd6	54.1955558217998	1.04036174229321	0.334147271458435	3.11348268011405	0.00184893361628019	0.0908570072620048
Xetro.K03038	Xetro.K03038	70.4888502878633	1.03789960865575	0.307744261819937	3.37260426081652	0.000744608893457786	0.0481357118163948
rrm2.2	rrm2.2	9204.97451935249	1.02896365563168	0.285455477954692	3.60463797368429	0.000312588352685138	0.0256959203253579
acpl2	acpl2	564.932426313197	1.02813666833427	0.24552309032558	4.18753554694546	2.81999864037159e-05	0.00487713271348422
wdr47	wdr47	165.220374877705	1.01678712193524	0.258227968211542	3.93755614071316	8.23156771206772e-05	0.0105256190245831
xkr9	xkr9	172.612704896894	-1.00560073076085	0.324715668831527	-3.09686543424114	0.00195578633827544	0.0933519952215558
tmeff1	tmeff1	436.77122482402	-1.00659593033369	0.302297919206185	-3.32981428710111	0.000869039259298629	0.0538278875166504
caskin2	caskin2	571.363767867365	-1.00660400623166	0.324533777352792	-3.10169257093202	0.00192417674726234	0.0925063600840885
tp63	tp63	1754.9759680921	-1.01479026175424	0.327379132932463	-3.09974020843775	0.00193690449415093	0.092783299095712
insm1	insm1	417.556801633446	-1.01754939121123	0.328925990252752	-3.09355119803495	0.00197776424666832	0.0940638802602927
hiat1	hiat1	948.200826006308	-1.04383375297611	0.188442367643892	-5.53927317952555	3.03729545133294e-08	1.92607921549527e-05
alg5	alg5	410.368868276022	-1.06196897139992	0.252229206550126	-4.21033307730312	2.54994468846202e-05	0.00446810702845378
