baseMean.st10	log2FoldChange.st10	lfcSE.st10	stat.st10	pvalue.st10	padj.st10	baseMean.st15	log2FoldChange.st15	lfcSE.st15	stat.st15	pvalue.st15	padj.st15
aco2	370.637870923701	0.848353571741267	0.168390762514414	5.03800540524692	4.7040816215467e-07	0.000178513694819242	370.637870923701	0.531152373027687	0.211876796169068	2.50689260283061	0.0121797712417392	0.0540976411204525
aldoa	2244.15235404981	0.76527235904788	0.172233301840466	4.44323107593169	8.86179012982449e-06	0.00163744719115265	2244.15235404981	1.42249969815878	0.161293356203141	8.8193322505312	1.15144307371375e-18	3.60516826379774e-16
alpl	503.150350035165	2.99882853339672	0.321640445303308	9.3235430344241	1.12518806316062e-20	4.64327607397614e-17	503.150350035165	1.77645468967453	0.279516177118449	6.35546288586271	2.07799918660507e-10	1.22375962584399e-08
arhgap11a.2	235.393740108438	-2.08376490769321	0.251761681608548	-8.27673573825723	1.26597747212255e-16	3.91820027621929e-13	235.393740108438	-2.14232542452242	0.26753387606199	-8.00767908743647	1.1689345087802e-15	2.01541118267341e-13
arl5c	2369.25129789654	-0.804365745004901	0.168766079544155	-4.76615767325716	1.87772335856531e-06	0.000553481313786631	2369.25129789654	-0.422144644007058	0.160393729287007	-2.63192735703324	0.00849020140281641	0.0413033259667778
arrdc2	121.883725219767	-0.992249152638236	0.252918650664349	-3.92319486930626	8.73824159079477e-05	0.0101102271863588	121.883725219767	-0.801395774211508	0.244100178193863	-3.28306099627278	0.00102686444474615	0.00789953950000048
aspg	1415.35862115292	0.543349981346595	0.154569287251491	3.51525190423205	0.000439337041855563	0.0316220498730922	1415.35862115292	-0.343300227891061	0.132923369985419	-2.58269277952191	0.00980325759662043	0.0460456038629141
atp11c	1103.56203626773	0.615853515784204	0.195610032621248	3.14837387188958	0.00164181558057664	0.0787816933625537	1103.56203626773	0.454341772927952	0.179456526098808	2.53176511774106	0.0113489985941824	0.0513938597026108
baz1a	1232.46290756849	-0.677820697471336	0.199608726265455	-3.39574682005594	0.000684416352697216	0.0432299716652629	1232.46290756849	0.701792936908892	0.185908719054443	3.77493288361249	0.000160050749856901	0.00174649505678785
btg4	169.920728910572	-1.80175817171869	0.48213384904798	-3.73704973271724	0.000186192107067957	0.0162821770915696	169.920728910572	-6.3859732996483	0.776810309305228	-8.22076280805266	2.02212845007692e-16	4.16531853762555e-14
c1orf93	1543.49817095567	-1.3748159803395	0.298084478600094	-4.61216896228917	3.98488863798729e-06	0.000899121912194741	1543.49817095567	-1.66244354502684	0.277948587154858	-5.9811188898061	2.21610043746225e-09	9.99799779494856e-08
c2orf44	522.238608038207	-1.44892211735527	0.256329542103077	-5.65257560820914	1.58061232545341e-08	1.08711003272851e-05	522.238608038207	-0.916553113228117	0.24198456590245	-3.78765112481431	0.000152078185297611	0.0016781978887049
c5	1467.93376778662	2.03560837602226	0.547249717170746	3.71970658394536	0.000199454352373788	0.0170292750509483	1467.93376778662	1.46980642661976	0.220594724434042	6.66292646114132	2.68427996431565e-11	1.90146619191681e-09
c5orf24	67.5208646795311	-1.16431450702245	0.323740709828709	-3.5964414473499	0.000322600156312813	0.0245017787432676	67.5208646795311	0.643596025121588	0.270450045538375	2.37972237660528	0.0173256856551526	0.0705419008924354
calr	17759.6029164983	0.742270194222843	0.160341641615004	4.62930394591509	3.66896906372769e-06	0.000887273540433241	17759.6029164983	0.635145728700926	0.149772114545738	4.24074755589408	2.22776580387588e-05	0.000335665771507959
capza2	1843.88116054163	0.643590936998801	0.153805050918937	4.18445904834429	2.85845969160183e-05	0.00459580921844554	1843.88116054163	0.52658664720458	0.144954304268795	3.63277689380033	0.000280387438495402	0.00279405814745099
caskin2	571.363767867365	1.00660400623157	0.324533777353872	3.1016925709214	0.00192417674733136	0.0872575389449167	571.363767867365	1.77073178668956	0.280012397551585	6.32376209829548	2.55270639834034e-10	1.45848973233642e-08
cct3	1174.72159038658	1.14057980553866	0.274883570357328	4.14931967034621	3.33464862324963e-05	0.00509159835383559	1174.72159038658	0.585616392217484	0.256394234815029	2.28404664652451	0.0223687896624245	0.0857934795495658
cd276	210.215621810015	1.18485799174477	0.356947073453984	3.31942206523657	0.000902039794642343	0.0514619938141576	210.215621810015	1.17494550152023	0.337204213574332	3.48437372435512	0.000493290169415472	0.00442294249839589
cdc37	1050.75457971423	0.741471533314604	0.191447733015499	3.8729710800732	0.000107516589872194	0.0113765417317757	1050.75457971423	0.907123888008978	0.181396630162694	5.0007758534179	5.7100066001783e-07	1.43024245321266e-05
