baseMean.st10	log2FoldChange.st10	lfcSE.st10	stat.st10	pvalue.st10	padj.st10	baseMean.st15	log2FoldChange.st15	lfcSE.st15	stat.st15	pvalue.st15	padj.st15
aco2	370.637870923701	-0.848353571741256	0.168390762515096	-5.03800540522644	4.70408162205012e-07	0.000192024787913746	370.637870923701	-0.531152373027673	0.211876796169542	-2.50689260282494	0.0121797712419348	0.0546492340095218
aldoa	2244.15235404981	-0.765272359047882	0.172233301840521	-4.44323107593026	8.86179012988334e-06	0.00173547734058318	2244.15235404981	-1.42249969815878	0.161293356203193	-8.81933225052837	1.15144307374284e-18	3.65122598683855e-16
alpl	503.150350035165	-2.99882853339686	0.321640445302397	-9.32354303445093	1.12518806287598e-20	4.99470981110648e-17	503.150350035165	-1.77645468967459	0.279516177117523	-6.35546288588399	2.07799918631735e-10	1.23939373165008e-08
arhgap11a.2	235.393740108438	2.0837649076932	0.251761681608615	8.27673573825499	1.26597747214633e-16	4.21475549914318e-13	235.393740108438	2.14232542452241	0.267533876062043	8.00767908743485	1.16893450879558e-15	2.04115901024859e-13
arl5c	2369.25129789654	0.804365745004905	0.168766079544227	4.76615767325514	1.8777233585841e-06	0.0005953724277682	2369.25129789654	0.422144644007055	0.160393729287077	2.63192735703208	0.00849020140284561	0.0417272607694102
arrdc2	121.883725219767	0.99224915263821	0.252918650665158	3.92319486929361	8.73824159125384e-05	0.0107747373398822	121.883725219767	0.801395774211485	0.244100178194599	3.28306099626279	0.00102686444478253	0.00798476496911571
aspg	1415.35862115292	-0.543349981346595	0.154569287251889	-3.51525190422301	0.000439337041870519	0.033818794142137	1415.35862115292	0.34330022789106	0.132923369985829	2.58269277951393	0.00980325759684727	0.0465221937138622
atp11c	1103.56203626773	-0.61585351578421	0.195610032621206	-3.14837387189027	0.00164181558057274	0.0837703374961195	1103.56203626773	-0.454341772927946	0.179456526098767	-2.53176511774161	0.0113489985941647	0.0519152835287019
baz1a	1232.46290756849	0.677820697471332	0.199608726265326	3.39574682005811	0.000684416352691785	0.0460321846908914	1232.46290756849	-0.701792936908895	0.18590871905432	-3.774932883615	0.000160050749855291	0.00176880735396884
btg4	169.920728910572	1.80175817171902	0.482133849045543	3.73704973273683	0.00018619210705346	0.0173920404175824	169.920728910572	6.38597329964919	0.776810309304166	8.22076280806504	2.02212844986817e-16	4.21853244377103e-14
